,MAN,SILICO_before,SILICO_after,EPFL_before,EPFL_after
2S-eriodictyol,3,2,1,,
2S-naringenin,9,1,,28,2
4-hydroxyphenylbutan-2-one,8,1,,,
4-vinylphenol,1,1,,,
5-hydroxytryptophan,1,3,1,,
E-cinnamate,1,1,,1,
L-dopa,1,8,1,1,
caffeic_acid,2,6,1,,
chavicol,9,2,1,6144,160
dicoumarol,3,3000,17,,
ferulic_acid,2,60,7,,
methyl_cinnamate,3,3,2,,
methylbenzoate,1,1,,2631,84
phloretin,12,1,,,
resveratrol,4,1,,,
rosmarinic_acid,24,10,2,,
salicylic_acid,1,3000,17,,
