101,('C100', 'C1236', 'C137', 'C250', 'C53', 'C55')
102,('C100', 'C1237', 'C137', 'C253', 'C53', 'C861')
103,('C100', 'C194', 'C253', 'C53', 'C55', 'C56')
104,('C100', 'C259', 'C53', 'C55', 'C56', 'C92')
105,('C100', 'C250', 'C253', 'C53', 'C55', 'C56')
106,('C100', 'C147', 'C264', 'C53', 'C55', 'C761')
107,('C100', 'C253', 'C265', 'C267', 'C53', 'C891')
108,('C100', 'C253', 'C267', 'C53', 'C55', 'C56')
109,('C100', 'C253', 'C53', 'C54', 'C55', 'C56')
110,('C100', 'C138', 'C53', 'C685', 'C687', 'C89')
111,('C100', 'C1237', 'C250', 'C265', 'C53', 'C891')
112,('C100', 'C407', 'C53', 'C56', 'C57', 'C89')
113,('C100', 'C179', 'C250', 'C53', 'C687', 'C89')
114,('C100', 'C1237', 'C138', 'C251', 'C53', 'C887')
115,('C100', 'C1236', 'C137', 'C253', 'C53', 'C55')
116,('C100', 'C1237', 'C137', 'C250', 'C53', 'C861')
117,('C100', 'C1236', 'C138', 'C251', 'C53', 'C887')
118,('C100', 'C273', 'C53', 'C55', 'C56', 'C89')
119,('C100', 'C1236', 'C251', 'C253', 'C53', 'C55')
120,('C100', 'C251', 'C253', 'C53', 'C54', 'C55')
121,('C100', 'C1236', 'C137', 'C138', 'C53', 'C861')
122,('C100', 'C1237', 'C138', 'C251', 'C53', 'C55')
123,('C100', 'C147', 'C194', 'C264', 'C53', 'C55')
124,('C100', 'C250', 'C253', 'C407', 'C53', 'C89')
125,('C100', 'C1236', 'C138', 'C251', 'C53', 'C55')
126,('C100', 'C245', 'C407', 'C53')
127,('C100', 'C137', 'C138', 'C253', 'C53', 'C55')
128,('C100', 'C1236', 'C251', 'C253', 'C53', 'C887')
129,('C100', 'C53', 'C54', 'C55', 'C56', 'C57')
130,('C100', 'C2066', 'C245', 'C264', 'C407', 'C53')
131,('C100', 'C1236', 'C137', 'C250', 'C53', 'C861')
132,('C100', 'C138', 'C53', 'C54', 'C55', 'C56')
133,('C100', 'C103', 'C251', 'C253', 'C53', 'C55')
134,('C100', 'C137', 'C138', 'C53', 'C55')
135,('C100', 'C253', 'C265', 'C267', 'C53', 'C55')
136,('C100', 'C194', 'C251', 'C253', 'C53', 'C55')
137,('C100', 'C194', 'C250', 'C53', 'C687', 'C89')
138,('C100', 'C137', 'C138', 'C53', 'C861')
139,('C100', 'C1127', 'C137', 'C264', 'C53', 'C55')
140,('C100', 'C1237', 'C251', 'C253', 'C53', 'C55')
141,('C100', 'C1237', 'C137', 'C253', 'C53', 'C55')
142,('C100', 'C1127', 'C147', 'C264', 'C53', 'C55')
143,('C100', 'C103', 'C137', 'C264', 'C53', 'C918')
144,('C100', 'C1236', 'C137', 'C253', 'C53', 'C861')
145,('C100', 'C250', 'C407', 'C53', 'C685', 'C89')
146,('C100', 'C111', 'C137', 'C253', 'C53', 'C55')
147,('C100', 'C1237', 'C251', 'C253', 'C53', 'C887')
148,('C100', 'C103', 'C53', 'C55', 'C56', 'C57')
149,('C100', 'C233', 'C250', 'C53', 'C687', 'C89')
150,('C100', 'C179', 'C273', 'C53', 'C687', 'C89')
151,('C100', 'C250', 'C407', 'C53', 'C704', 'C89')
152,('C100', 'C103', 'C138', 'C53', 'C55', 'C56')
153,('C100', 'C1127', 'C137', 'C264', 'C53', 'C861')
154,('C100', 'C103', 'C147', 'C264', 'C53', 'C55')
155,('C100', 'C1236', 'C250', 'C265', 'C53', 'C891')
156,('C100', 'C137', 'C251', 'C253', 'C53', 'C861')
157,('C100', 'C245', 'C253', 'C407', 'C53', 'C95')
158,('C100', 'C1237', 'C137', 'C250', 'C53', 'C55')
159,('C100', 'C1760', 'C178', 'C245', 'C407', 'C53')
160,('C100', 'C111', 'C137', 'C253', 'C53', 'C861')
